BSR202,ECON 331,CDEV 212,ANSC 111
BSR301,"BCOM 352, BCOM 321, BCOM 342BCOM 361",BCOM 351,
BSR302,"BCOM 311, BPLM 116",BCOM 351,MATH 246
BSR303,SOCI 100,BCOM 351,"DIBM 0215, DPLM 0222,DIAC 0111, CIBM 00101"
BSR401,BCOM 262,CRSS 310,PHIL 109
BSR402,BCOM 262,BMET 315,HIST 453
BSR403,HIST 211,CDEV 111,PHIL 109
BSR501,SOCI 418,SOCI 321,"GEOG 434, SOCI 319"
BSR502,"ANHE 215,","AGEC 111, PESP 141","ANSC 313, ANSC 271"
BSR503,"DIBM 0112, DIBM 0218, DHRM 0251,CPLM 00111, DIAC 0241, DPLM 0215,","BIOC 416, BIOC 311, BIOC 202",
BSL201,,ACSC 101,COSC 451
BSL202,"BCHM 462, ENSC 405/359, NARE 324",,"BECO 461,"
BSL203,RELI 340,,LITT 323
BSL301,,ECON 441,BUST 211
BSL302,"AGEN 331,",ECON 441,BECO 251
BSL303,"AGEN 331,",ECON 441,"KISW 304,"
BSL401,ACSC 223,ACSC 475,ACSC 261
BSL402,GEOG 440,ECON 441,BTOM 261
BSL403,ACSC 332,ECON 441,MATH 205
BSL501,"ANHE 426/7,",,MATH 245
BSL502,,,"BCHM 421,"
BSL503,"BTOM 351, BECO 381, DWLM 0121",,ACSC 351
MS03,PUHE 241H/PUHU 141,BEEM 442,BMET 101
MS04,BPLM 413,COSC 440,BEEM 323
MS05,"ENSC 450, NARE 111, WIEM 415",ENSC 223,"ENSC 342, WIEM 361,"
MS07,"DTHM 0112, DTHM 0242",SOCI 243,"DTHM 0141, DTHM 0143, DTHM 0243"
MS08,DTHM 0252,"SOCI 822, CDEV 812",DTHM 0253
MS09,"CHTM 00103, CHTM 00201","ANHE 0232,","CHTM 00104, CHTM 00303"
MS10,CDEV 0211,FOST 101,CDEV 0260
MS17,DJMC 0225,GPHY 334,DJMC 0226
MS20,DJMC 0100,"KISW 826, KISW 932, ENGL 833, PGDE 764",DJMC 0111
MS21,BCOM 302,,BSIS 100
MS23,"BIOC 820, ANSC 821","PHYS 892(6), DSCM 914, MSCF 812,MPLM 816, MBAD 832, MSOM 821","AGEC 830, AGBM 819ANSC 841, CRSS 801,"
